scenario,year,fuel,avg_margin_eur_per_MWh,median_margin_eur_per_MWh,share_negative_margin_pct,share_stranded_pct,plants
Net Zero 2050,2021,coal,19.138988418818414,19.138988418818414,0.0,0.0,279
Net Zero 2050,2021,gas,42.981766277687775,42.981766277687775,0.0,0.0,439
Net Zero 2050,2021,oil,-104.22156501931474,-104.22156501931474,100.0,0.0,106
Net Zero 2050,2022,coal,-11.323838999659287,-11.323838999659287,100.0,0.0,279
Net Zero 2050,2022,gas,29.716275894454157,29.716275894454157,0.0,0.0,439
Net Zero 2050,2022,oil,-130.43887688851373,-130.43887688851373,100.0,100.0,106
Net Zero 2050,2023,coal,-41.786666418136974,-41.786666418136974,100.0,0.0,279
Net Zero 2050,2023,gas,16.450785511220516,16.450785511220516,0.0,0.0,439
Net Zero 2050,2023,oil,-156.65618875771273,-156.65618875771273,100.0,100.0,106
Net Zero 2050,2024,coal,-72.24949383661468,-72.24949383661468,100.0,100.0,279
Net Zero 2050,2024,gas,3.1852951279869046,3.1852951279869046,0.0,0.0,439
Net Zero 2050,2024,oil,-182.8735006269117,-182.8735006269117,100.0,100.0,106
Net Zero 2050,2025,coal,-102.71232125509243,-102.71232125509243,100.0,100.0,279
Net Zero 2050,2025,gas,-10.080195255246792,-10.080195255246792,100.0,0.0,439
Net Zero 2050,2025,oil,-209.09081249611077,-209.09081249611077,100.0,100.0,106
Net Zero 2050,2026,coal,-132.22301178828678,-132.22301178828678,100.0,100.0,279
Net Zero 2050,2026,gas,-24.211635472448393,-24.211635472448393,100.0,0.0,439
Net Zero 2050,2026,oil,-236.48359208169637,-236.48359208169637,100.0,100.0,106
Net Zero 2050,2027,coal,-161.73370232148116,-161.73370232148116,100.0,100.0,279
Net Zero 2050,2027,gas,-38.343075689650036,-38.343075689650036,100.0,100.0,439
Net Zero 2050,2027,oil,-263.876371667282,-263.876371667282,100.0,100.0,106
Net Zero 2050,2028,coal,-191.2443928546756,-191.2443928546756,100.0,100.0,279
Net Zero 2050,2028,gas,-52.47451590685168,-52.47451590685168,100.0,100.0,439
Net Zero 2050,2028,oil,-291.2691512528677,-291.2691512528677,100.0,100.0,106
Net Zero 2050,2029,coal,-220.75508338786997,-220.75508338786997,100.0,100.0,279
Net Zero 2050,2029,gas,-66.60595612405331,-66.60595612405331,100.0,100.0,439
Net Zero 2050,2029,oil,-318.66193083845326,-318.66193083845326,100.0,100.0,106
Net Zero 2050,2030,coal,-250.2657739210643,-250.2657739210643,100.0,100.0,279
Net Zero 2050,2030,gas,-80.73739634125495,-80.73739634125495,100.0,100.0,439
Net Zero 2050,2030,oil,-346.05471042403894,-346.05471042403894,100.0,100.0,106
Net Zero 2050,2031,coal,-305.2936037170769,-305.2936037170769,100.0,100.0,279
Net Zero 2050,2031,gas,-109.03668410934279,-109.03668410934279,100.0,100.0,439
Net Zero 2050,2031,oil,-392.02669535509165,-392.02669535509165,100.0,100.0,106
Net Zero 2050,2032,coal,-360.32143351308935,-360.32143351308935,100.0,100.0,279
Net Zero 2050,2032,gas,-137.33597187743058,-137.33597187743058,100.0,100.0,439
Net Zero 2050,2032,oil,-437.9986802861443,-437.9986802861443,100.0,100.0,106
Net Zero 2050,2033,coal,-415.34926330910196,-415.34926330910196,100.0,100.0,279
Net Zero 2050,2033,gas,-165.63525964551846,-165.63525964551846,100.0,100.0,439
Net Zero 2050,2033,oil,-483.97066521719705,-483.97066521719705,100.0,100.0,106
Net Zero 2050,2034,coal,-470.3770931051145,-470.37709310511445,100.0,100.0,279
Net Zero 2050,2034,gas,-193.93454741360625,-193.93454741360625,100.0,100.0,439
Net Zero 2050,2034,oil,-529.9426501482498,-529.9426501482498,100.0,100.0,106
Net Zero 2050,2035,coal,-525.404922901127,-525.404922901127,100.0,100.0,279
Net Zero 2050,2035,gas,-222.23383518169408,-222.2338351816941,100.0,100.0,439
Net Zero 2050,2035,oil,-575.9146350793025,-575.9146350793025,100.0,100.0,106
Net Zero 2050,2036,coal,-583.2240397225208,-583.2240397225208,100.0,100.0,279
Net Zero 2050,2036,gas,-251.83618888612753,-251.83618888612756,100.0,100.0,439
Net Zero 2050,2036,oil,-627.7168878920704,-627.7168878920704,100.0,100.0,106
Net Zero 2050,2037,coal,-641.0431565439148,-641.0431565439148,100.0,100.0,279
Net Zero 2050,2037,gas,-281.4385425905609,-281.4385425905609,100.0,100.0,439
Net Zero 2050,2037,oil,-679.5191407048384,-679.5191407048384,100.0,100.0,106
Net Zero 2050,2038,coal,-698.8622733653087,-698.8622733653087,100.0,100.0,279
Net Zero 2050,2038,gas,-311.0408962949944,-311.0408962949944,100.0,100.0,439
Net Zero 2050,2038,oil,-731.3213935176062,-731.3213935176062,100.0,100.0,106
Net Zero 2050,2039,coal,-756.6813901867026,-756.6813901867026,100.0,100.0,279
Net Zero 2050,2039,gas,-340.64324999942784,-340.64324999942784,100.0,100.0,439
Net Zero 2050,2039,oil,-783.1236463303745,-783.1236463303744,100.0,100.0,106
Net Zero 2050,2040,coal,-814.5005070080963,-814.5005070080963,100.0,100.0,279
Net Zero 2050,2040,gas,-370.24560370386126,-370.2456037038612,100.0,100.0,439
Net Zero 2050,2040,oil,-834.925899143142,-834.925899143142,100.0,100.0,106
Net Zero 2050,2041,coal,-870.9877751220606,-870.9877751220606,100.0,100.0,279
Net Zero 2050,2041,gas,-395.55483289558913,-395.55483289558913,100.0,100.0,439
Net Zero 2050,2041,oil,-884.9266332869698,-884.9266332869698,100.0,100.0,106
Net Zero 2050,2042,coal,-927.4750432360245,-927.4750432360245,100.0,100.0,279
Net Zero 2050,2042,gas,-420.8640620873169,-420.8640620873169,100.0,100.0,439
Net Zero 2050,2042,oil,-934.9273674307975,-934.9273674307975,100.0,100.0,106
Net Zero 2050,2043,coal,-983.9623113499886,-983.9623113499887,100.0,100.0,279
Net Zero 2050,2043,gas,-446.17329127904475,-446.17329127904475,100.0,100.0,439
